year,month,gid_0,country,gid_1,region,CO2,CO,TPM,PM25,TPC,NMHC,OC,CH4,SO2,BC,NOx
2009,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,1,ESP,Spain,ESP.12_1,Galicia,14849.971,554.892,74.866,63.152,26.423,29.947,23.076,17.087,4.228,3.259,34.35
2010,2,ESP,Spain,ESP.12_1,Galicia,1093.768,40.87,5.514,4.651,1.946,2.206,1.7,1.259,0.311,0.24,2.53
2010,3,ESP,Spain,ESP.12_1,Galicia,17114.162,688.106,100.659,81.066,40.734,43.46,36.593,22.798,5.759,4.056,36.752
2010,4,ESP,Spain,ESP.12_1,Galicia,27977.208,1517.756,262.765,182.516,130.436,140.809,121.063,65.128,14.767,9.356,41.39
2010,5,ESP,Spain,ESP.12_1,Galicia,10127.279,536.326,80.934,54.115,33.416,47.1,29.92,24.321,4.066,3.479,18.172
2010,6,ESP,Spain,ESP.12_1,Galicia,16468.775,861.725,131.198,88.741,54.991,75.051,49.413,38.474,6.691,5.548,29.532
2010,7,ESP,Spain,ESP.12_1,Galicia,16652.535,822.633,139.49,101.449,68.018,69.936,63.031,32.536,8.02,4.953,27.707
2010,8,ESP,Spain,ESP.12_1,Galicia,214038.276,9868.638,1623.603,1220.758,767.097,774.727,707.789,367.157,94.177,58.662,388.028
2010,9,ESP,Spain,ESP.12_1,Galicia,154646.083,6539.489,1005.624,788.199,437.081,452.046,397.803,226.417,58.001,38.617,313.112
2010,10,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1,ESP,Spain,ESP.12_1,Galicia,5408.448,296.019,55.949,39.857,30.453,28.323,28.702,12.086,3.344,1.751,6.818
2011,2,ESP,Spain,ESP.12_1,Galicia,11839.031,558.916,84.183,60.807,35.046,43.909,31.524,22.596,4.49,3.484,22.933
2011,3,ESP,Spain,ESP.12_1,Galicia,20099.722,1008.906,187.493,138.749,100.884,89.399,95.021,38.085,11.425,5.836,29.122
2011,4,ESP,Spain,ESP.12_1,Galicia,25727.766,1384.493,250.579,177.488,130.691,129.16,122.349,57.294,14.612,8.329,35.832
2011,5,ESP,Spain,ESP.12_1,Galicia,5876.222,234.469,32.606,26.185,12.082,14.39,10.646,7.931,1.801,1.405,13.059
2011,6,ESP,Spain,ESP.12_1,Galicia,36610.407,1965.662,366.169,262.095,196.707,184.522,185.052,79.571,21.813,11.641,48.681
2011,7,ESP,Spain,ESP.12_1,Galicia,29993.777,1536.191,280.684,204.571,148.288,137.888,139.218,60.043,16.783,9.035,43.591
2011,8,ESP,Spain,ESP.12_1,Galicia,27995.862,1382.27,243.872,179.459,124.444,118.801,116.23,53.185,14.436,8.162,44.369
2011,9,ESP,Spain,ESP.12_1,Galicia,42490.852,2007.915,301.839,217.75,125.26,157.826,112.595,81.357,16.064,12.532,82.398
2011,10,ESP,Spain,ESP.12_1,Galicia,824707.254,36806.25,5760.761,4369.017,2553.869,2741.696,2330.117,1357.493,327.051,220.77,1597.894
2011,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1,ESP,Spain,ESP.12_1,Galicia,5360.799,220.392,29.096,22.572,9.647,13.957,8.254,8.044,1.502,1.365,12.139
2012,2,ESP,Spain,ESP.12_1,Galicia,51674.213,2616.662,454.199,327.997,227.196,229.136,211.389,104.677,26.299,15.725,81.673
2012,3,ESP,Spain,ESP.12_1,Galicia,95571.792,4630.111,843.881,632.952,446.271,394.574,419.402,170.138,51.456,26.688,147.798
2012,4,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,5,ESP,Spain,ESP.12_1,Galicia,6197.876,331.155,66.231,48.544,38.008,31.61,36.126,12.644,4.139,1.882,7.225
2012,6,ESP,Spain,ESP.12_1,Galicia,10697.661,618.059,102.135,67.266,47.696,59.436,43.727,28.768,5.377,3.969,15.86
